isin,wkn,ticker,valor,name,inception_date,age_in_days,age_in_years,strategy,domicile_country,currency,hedged,securities_lending,dividends,ter,replication,size,is_sustainable,number_of_holdings,yesterday,last_week,last_month,last_three_months,last_six_months,last_year,last_three_years,last_five_years,2024,2023,2022,2021,last_dividends,last_year_dividends,last_year_volatility,last_three_years_volatility,last_five_years_volatility,last_year_return_per_risk,last_three_years_return_per_risk,last_five_years_return_per_risk,max_drawdown,last_year_max_drawdown,last_three_years_max_drawdown,last_five_years_max_drawdown,asset_class,instrument,region,exchange
JE00B2QXZK10,A1ELLY,COCO,,WisdomTree Cocoa,2009-11-09,5565,15.246575342465754,Long-only,Jersey,USD,False,False,Accumulating,0.49,Swap based,30,False,,-1.45,-4.55,-1.45,62.69,80.66,273.29,610.87,528.85,338.89,62.23,2.64,0.44,,,63.16,42.24,36.66,4.31,2.18,1.21,-53.3,-37.83,-37.83,-37.83,Commodities,ETC,,"London, Stuttgart, Borsa Italiana"
GB00BLD4ZN31,A3GRUE,XRRL,110676560,CoinShares Physical XRP,2021-04-13,1392,3.813698630136986,Long-only,Jersey,USD,False,False,Accumulating,1.5,Physically backed,263,False,,44.88,-1.92,44.88,529.1,389.64,526.64,429.21,,252.76,76.84,-57.93,,,,104.13,87.98,,5.03,0.84,,-79.9,-39.82,-63.6,,Cryptocurrencies,ETN,,"gettex, XETRA, SIX Swiss Exchange"
CH0454664043,A2UBKC,21XP,45466404,21Shares Ripple XRP ETP,2019-06-21,2054,5.627397260273972,Long-only,Switzerland,USD,False,False,Accumulating,2.5,Physically backed,669,False,,49.35,-1.88,49.35,527.18,385.94,516.51,415.41,1126.66,237.39,76.04,-58.04,295.41,,,107.95,90.36,111.39,4.76,0.8,0.58,-81.16,-40.23,-64.86,-81.16,Cryptocurrencies,ETN,,"gettex, XETRA, Euronext Paris, Stuttgart, SIX Swiss Exchange, Euronext Amsterdam"
DE000A3GSUE1,A3GSUE,VTRX,,VanEck TRON ETN,2021-09-13,1239,3.3945205479452056,Long-only,Liechtenstein,USD,False,False,Accumulating,1.5,Physically backed,70,False,,0.08,-0.3,0.08,59.37,102.3,135.78,306.79,,152.3,76.35,-22.92,,,,70.47,58.48,,1.92,1.02,,-61.54,-37.02,-45.89,,Cryptocurrencies,ETN,,"gettex, XETRA, Euronext Paris, Euronext Amsterdam"
CH1135202161,A3GUMV,H21V,113520216,21Shares Crypto Basket Equal Weight ETP,2021-09-28,1224,3.3534246575342466,Long-only,Switzerland,USD,False,False,Accumulating,2.5,Physically backed,19,False,,26.72,-1.83,26.72,138.52,114.19,242.1,195.43,,148.97,101.07,-65.23,,,,62.68,59.55,,3.84,0.73,,-75.21,-27.72,-63.39,,Cryptocurrencies,ETN,,"gettex, XETRA, Euronext Paris, SIX Swiss Exchange, Euronext Amsterdam"
CH0558875933,A3GVH3,SETB,55887593,AMINA Bitcoin ETP,2020-11-02,1554,4.257534246575342,Long-only,Switzerland,USD,False,False,Accumulating,0.75,Physically backed,102,False,,13.05,0.52,13.05,54.7,63.58,153.26,193.94,,128.19,149.01,-63.88,80.95,,,52.35,53.17,,2.92,0.81,,-74.1,-28.88,-64.64,,Cryptocurrencies,ETN,,"gettex, XETRA, Euronext Paris, SIX Swiss Exchange, Euronext Amsterdam"
DE000A28M8D0,A28M8D,VBTC,58450415,VanEck Bitcoin ETN,2020-11-19,1537,4.210958904109589,Long-only,Liechtenstein,USD,False,False,Accumulating,1.0,Physically backed,711,False,,9.53,0.06,9.53,54.34,63.46,153.1,192.2,,134.38,150.0,-63.48,80.68,,,52.19,52.86,,2.92,0.81,,-74.3,-30.3,-64.75,,Cryptocurrencies,ETN,,"gettex, XETRA, Euronext Paris, SIX Swiss Exchange, Euronext Amsterdam"
GB00BJYDH287,A3GKGK,WBIT,51008802,WisdomTree Physical Bitcoin,2019-11-28,1894,5.189041095890411,Long-only,Jersey,USD,False,False,Accumulating,0.35,Physically backed,1075,False,,9.87,-0.17,9.87,55.11,64.29,152.88,191.31,1050.0,136.6,147.73,-63.87,79.58,,,49.94,51.39,2385.4,3.05,0.83,0.03,-98.85,-26.74,-64.62,-98.85,Cryptocurrencies,ETN,,"gettex, XETRA, London, Euronext Paris, SIX Swiss Exchange, Euronext Amsterdam"
GB00BLD4ZL17,A3GPMN,BITC,58943992,CoinShares Physical Bitcoin,2021-01-19,1476,4.043835616438356,Long-only,Jersey,USD,False,False,Accumulating,0.25,Physically backed,1464,False,,9.88,-0.14,9.88,55.1,64.28,152.91,190.98,,136.68,147.26,-63.93,,,,49.94,51.25,,3.05,0.83,,-74.24,-26.71,-64.63,,Cryptocurrencies,ETN,,"gettex, XETRA, Euronext Paris, SIX Swiss Exchange, Euronext Amsterdam"
DE000A3GK2N1,A3GK2N,XBTI,110570684,DDA Physical Bitcoin ETP,2021-04-15,1390,3.808219178082192,Long-only,Germany,USD,False,False,Accumulating,0.95,Physically backed,24,False,,9.82,-0.1,9.82,54.94,63.8,151.42,189.58,,135.64,147.37,-63.81,,,,49.36,51.22,,3.05,0.83,,-74.19,-26.78,-64.65,,Cryptocurrencies,ETN,,"gettex, XETRA, Euronext Paris, SIX Swiss Exchange, Euronext Amsterdam"
